sample_id	cram	crai	population
HG02155	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242169/HG02155.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242169/HG02155.final.cram.crai	CDX
HG02165	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242172/HG02165.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242172/HG02165.final.cram.crai	CDX
HG02178	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242174/HG02178.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242174/HG02178.final.cram.crai	CDX
HG02391	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242280/HG02391.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242280/HG02391.final.cram.crai	CDX
HG02392	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242281/HG02392.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242281/HG02392.final.cram.crai	CDX
HG02583	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242368/HG02583.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242368/HG02583.final.cram.crai	GWD
HG02922	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242482/HG02922.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242482/HG02922.final.cram.crai	ESN
HG02976	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242607/HG02976.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242607/HG02976.final.cram.crai	ESN
HG03130	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242610/HG03130.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242610/HG03130.final.cram.crai	ESN
HG03139	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242983/HG03139.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242983/HG03139.final.cram.crai	ESN
HG03195	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242620/HG03195.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242620/HG03195.final.cram.crai	ESN
HG03209	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242539/HG03209.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242539/HG03209.final.cram.crai	MSL
HG03225	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242964/HG03225.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242964/HG03225.final.cram.crai	MSL
HG03270	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242590/HG03270.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242590/HG03270.final.cram.crai	ESN
